Hash Base OpenSSL Optimisé Optimisé+Chain
a128c974e 13.129 31.993 18.492 12.955
96d23efbf 13.790 31.280 18.585 9.130
3b8474265 28.296 65.958 26.708 18.503
a0695c2b1 42.369 96.123 35.822 27.479
790fc7018 13.768 31.750 18.616 9.182
f1a707680 56.507 137.905 46.154 37.227
9515818c1 55.994 135.899 45.491 36.609
